City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
347,San Luis,-33.3,-66.34,51.3,41,5,10.92,AR,1595811094
348,Maxixe,-23.86,35.35,61.7,79,0,5.84,MZ,1595811094
349,Aswān,24.09,32.91,87.76,14,0,8.79,EG,1595811095
350,Luanda,-8.84,13.23,71.6,88,75,8.05,AO,1595811095
351,Xichang,27.9,102.26,66.87,72,67,1.66,CN,1595811095
352,Tilichiki,60.47,166.1,69.69,46,0,4.83,RU,1595811096
353,Ribeira Grande,38.52,-28.7,73.04,91,10,4.45,PT,1595811096
354,Tabas,33.6,56.92,93.2,17,0,4.7,IR,1595811096
355,Maku,39.29,44.45,72.43,28,0,3.85,IR,1595811096
356,Neckarsulm,49.19,9.23,59.0,92,17,2.26,DE,1595811097
357,Conceição do Araguaia,-8.26,-49.26,77.0,57,91,3.36,BR,1595810857
358,Lorengau,-2.02,147.27,83.07,80,19,7.58,PG,1595811097
359,Mayo,38.89,-76.51,86.0,58,1,5.19,US,1595810917
360,Rafaela,-31.25,-61.49,52.0,40,31,1.99,AR,1595811158
361,Sussex,41.18,-74.67,80.6,61,1,3.94,US,1595811158
362,Kirovskiy,45.09,133.51,76.86,64,0,2.93,RU,1595811158
363,Kudat,6.88,116.85,80.6,88,20,3.36,MY,1595811158
364,São João da Barra,-21.64,-41.05,72.45,86,69,12.46,BR,1595811159
365,São João dos Patos,-6.5,-43.7,71.33,48,72,4.7,BR,1595811159
366,Chilca,-12.52,-76.74,59.0,87,90,6.93,PE,1595811159
367,Vilhena,-12.74,-60.15,69.78,49,0,2.28,BR,1595810966
368,Libertador General San Martín,-23.81,-64.79,53.49,39,0,2.37,AR,1595811160
369,Zyryanka,65.75,150.85,76.26,55,100,7.0,RU,1595811160
